CRNumber,Description,Victim,Reported,Location
23*******-001,302a - Molesting Vic 15 Yr and Younger,Victim,11/01/2023,1** - 140 District
23*******-001,302a - Molesting Vic 15 Yr and Younger,Victim,11/01/2023,1** - 140 District
23*******-001,255 - Menacing - ZIU,Victim,11/01/2023,11** Urana Ave
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,6** Gilbert St
23*******-001,552 - Telecommunication Harassment - ZIU,Victim,11/01/2023,52** Fall Water Ct
23*******-001,552 - Telecommunication Harassment - ZIU,Victim,11/01/2023,52** Fall Water Ct
23*******-001,201 - Theft of License Plate - Generalist,Victim,11/01/2023,19** Drury Ln
23*******-001,201 - Theft of License Plate - Generalist,Victim,11/01/2023,19** Drury Ln
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,15** N Cassady Ave
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,4** Helen Ct
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,4** Helen Ct
23*******-001,254 - Assault - ZIU,Victim,11/01/2023,7** S Terrace Ave
23*******-001,118 - Theft - From Motor Vehicle - Petit - ZIU,Victim,11/01/2023,48** Sunbury Rd
23*******-001,118 - Theft - From Motor Vehicle - Petit - ZIU,Victim,11/01/2023,48** Sunbury Rd
23*******-001,118 - Theft - From Motor Vehicle - Petit - ZIU,Victim,11/01/2023,48** Sunbury Rd
23*******-001,118 - Theft - From Motor Vehicle - Petit - ZIU,Victim,11/01/2023,48** Sunbury Rd
23*******-001,118 - Theft - From Motor Vehicle - Petit - ZIU,Victim,11/01/2023,48** Sunbury Rd
23*******-001,254 - Assault - ZIU,Victim,11/01/2023,1** Clarendon Ave
23*******-001,200 - Motor Vehicle Theft - Generalist,Victim,11/01/2023,58** Arborwood Dr
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,3** Wild Stallion Dr
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,3** Wild Stallion Dr
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,41** Steletzer Rd
23*******-001,200 - Motor Vehicle Theft - Generalist,Victim,11/01/2023,8** Spivey Ln
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,14** Airport Dr
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,14** Airport Dr
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,14** Airport Dr
23*******-001,200 - Motor Vehicle Theft - Generalist,Victim,11/01/2023,48** Sunbury Rd
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,48** Birmingham Ct
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,48** Birmingham Ct
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,40** Morse Rd
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,36** Morse Rd
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,36** Morse Rd
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,36** Morse Rd
23*******-001,255 - Menacing - ZIU,Victim,11/01/2023,Hall And Georgesville Rd
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,3** S Front St
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,28** Airport Dr
23*******-001,115 - Theft - Misdemeanor - ZIU,Victim,11/01/2023,35** Gender Rd
23*******-001,115 - Theft - Misdemeanor - ZIU,Victim,11/01/2023,35** Gender Rd
23*******-001,255 - Menacing - ZIU,Victim,11/01/2023,33** E 7th Ave
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,65** Doubletree Ave
23*******-001,117 - Theft - From Motor Vehicle - Felony - Generalist,Victim,11/01/2023,65** Doubletree Ave
23*******-001,551 - Criminal Damaging - ZIU,Victim,11/01/2023,27** Primrose Trl
23*******-001,550 - Trespassing - ZIU,Victim,11/01/2023,11** E Broad St
23*******-001,115 - Theft - Misdemeanor - ZIU,Victim,11/01/2023,12** Georgesville Rd
23*******-001,109 - Felony Theft - Zone 3 - Generalist,Victim,11/01/2023,13** Catalina Ct
23*******-001,109 - Felony Theft - Zone 3 - Generalist,Victim,11/01/2023,13** Catalina Ct
23*******-001,550 - Trespassing - ZIU,Victim,11/01/2023,** S EurekaAve
23*******-001,550 - Trespassing - ZIU,Victim,11/01/2023,** S EurekaAve
23*******-001,201 - Theft of LicensePlate - Generalist,Victim,11/01/2023,15** HallhillWay
23*******-001,201 - Theft of LicensePlate - Generalist,Victim,11/01/2023,15** HallhillWay
23*******-001,107 - Felony Theft -Zone 1 - Generalist,Victim,11/01/2023,39** ChagrinDr
23*******-001,107 - Felony Theft -Zone 1 - Generalist,Victim,11/01/2023,39** ChagrinDr
23*******-001,200 - Motor VehicleTheft - Generalist,Victim,11/01/2023,44** BayshireRd
23*******-001,115 - Theft -Misdemeanor - ZIU,Victim,11/01/2023,41** BrightenRose Way
23*******-001,103 - Burglary - Zone 3,Victim,11/01/2023,** S EurekaAve
23*******-001,115 - Theft -Misdemeanor - ZIU,Victim,11/01/2023,3** Lost RiverDr
23*******-001,115 - Theft -Misdemeanor - ZIU,Victim,11/01/2023,3** Lost RiverDr
23*******-001,115 - Theft -Misdemeanor - ZIU,Victim,11/01/2023,3** Lost RiverDr
23*******-001,109 - Felony Theft -Zone 3 - Generalist,Victim,11/01/2023,32** RiverPlace Dr
23*******-001,109 - Felony Theft -Zone 3 - Generalist,Victim,11/01/2023,32** RiverPlace Dr
23*******-001,200 - Motor VehicleTheft - Generalist,Victim,11/01/2023,17** ShanleyDr Apt 6
23*******-001,400 - Fraud - Generalist,Victim,11/01/2023,6** E Town St
23*******-001,117 - Theft - FromMotor Vehicle - Felony -Generalist,Victim,11/01/2023,3149Broadmoor Ave
23*******-001,117 - Theft - FromMotor Vehicle - Felony -Generalist,Victim,11/01/2023,3149Broadmoor Ave
23*******-001,200a - Motor VehicleTheft - ATTEMPT -Generalist,Victim,11/01/2023,10** Luxe Ave
23*******-001,305 - Voyeurism,Victim,11/01/2023,43** ChesfordRd
23*******-001,305 - Voyeurism,Victim,11/01/2023,43** ChesfordRd
